"Asset","Status","RiskScore","Impact","SizeKB"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\certificats_admin_guide_en.md","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","4,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\certificats_admin_guide.md","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","5,35"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\CGU.md","USED","40","KEEP - USED IN CODE","3,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\commercial_pitch_template.pptx.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\DISCLAIMER_IA.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,09"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\formation_guide_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1,96"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\formation_guide.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,42"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\LEGACY.md","USED","40","KEEP - USED IN CODE","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MANUEL_INSTITUTIONNEL.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","3,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MENTIONS_LEGALES.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","0,97"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_CONFIDENTIALITE.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","3,15"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_SECURITE.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,86"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1,35"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1,52"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_MANAGER_MIGRATION.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_ROTATION_RUNBOOK.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","7,25"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECURITY_ROTATION.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,31"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\STARTUP_YC_ARCHITECTURE.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","4,49"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\favicon.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-128.svg","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-256.svg","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,39"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-512.svg","USED","40","KEEP - USED IN CODE","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-dark.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,48"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-light.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,48"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\splash-screen.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\favicon.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","9,3"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\icons.svg","USED","40","KEEP - USED IN CODE","4,91"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\hero.png","USED","40","KEEP - USED IN CODE","12,75"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\react.svg","USED","40","KEEP - USED IN CODE","4,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\vite.svg","USED","40","KEEP - USED IN CODE","8,5"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\README.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","USED","40","KEEP - USED IN CODE","10,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","USED","40","KEEP - USED IN CODE","0,29"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","USED","40","KEEP - USED IN CODE","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","USED","40","KEEP - USED IN CODE","0,44"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","USED","40","KEEP - USED IN CODE","0,28"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","USED","40","KEEP - USED IN CODE","0,45"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","USED","40","KEEP - USED IN CODE","0,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","USED","40","KEEP - USED IN CODE","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","USED","40","KEEP - USED IN CODE","0,57"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","USED","40","KEEP - USED IN CODE","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","USED","40","KEEP - USED IN CODE","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","USED","40","KEEP - USED IN CODE","1,63"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","USED","40","KEEP - USED IN CODE","0,74"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","USED","40","KEEP - USED IN CODE","1,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","USED","40","KEEP - USED IN CODE","1,38"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","0,33"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\cookie_policy.md","USED","40","KEEP - USED IN CODE","3,23"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\privacy_policy.md","USED","40","KEEP - USED IN CODE","3,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\refund_policy.md","USED","40","KEEP - USED IN CODE","2,66"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\terms_of_service.md","USED","40","KEEP - USED IN CODE","3,67"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\cookie_policy.md","USED","40","KEEP - USED IN CODE","3,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\privacy_policy.md","USED","40","KEEP - USED IN CODE","4,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\refund_policy.md","USED","40","KEEP - USED IN CODE","3,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\terms_of_service.md","USED","40","KEEP - USED IN CODE","4,54"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","8,18"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_fr.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","8,76"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","6,11"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_fr.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","7,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","4,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_fr.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","5,13"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_en.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","5,77"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_fr.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","6,5"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,43"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","1,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","USED","40","KEEP - USED IN CODE","10,68"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","USED","40","KEEP - USED IN CODE","0,29"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","USED","40","KEEP - USED IN CODE","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","USED","40","KEEP - USED IN CODE","0,44"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","USED","40","KEEP - USED IN CODE","0,28"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","USED","40","KEEP - USED IN CODE","0,45"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","USED","40","KEEP - USED IN CODE","0,69"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","USED","40","KEEP - USED IN CODE","0,4"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","USED","40","KEEP - USED IN CODE","0,57"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","USED","40","KEEP - USED IN CODE","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","USED","40","KEEP - USED IN CODE","0,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","USED","40","KEEP - USED IN CODE","1,63"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","USED","40","KEEP - USED IN CODE","0,74"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","USED","40","KEEP - USED IN CODE","1,2"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","USED","40","KEEP - USED IN CODE","1,38"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","USED","40","KEEP - USED IN CODE","0,07"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","0,33"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\flutter\CMakeLists.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","2,75"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\CMakeLists.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","3,59"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_1024.png","USED","40","KEEP - USED IN CODE","100,58"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_128.png","USED","40","KEEP - USED IN CODE","5,55"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_16.png","USED","40","KEEP - USED IN CODE","0,51"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_256.png","USED","40","KEEP - USED IN CODE","13,81"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_32.png","USED","40","KEEP - USED IN CODE","1,04"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_512.png","USED","40","KEEP - USED IN CODE","35,55"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_64.png","USED","40","KEEP - USED IN CODE","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-192.png","USED","40","KEEP - USED IN CODE","5,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-512.png","USED","40","KEEP - USED IN CODE","8,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-192.png","USED","40","KEEP - USED IN CODE","5,46"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-512.png","USED","40","KEEP - USED IN CODE","20,51"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\favicon.png","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0,9"
