"Asset","Status","Score","SizeKB","Reason"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\LEGACY.md","USED","60","2,03","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MANUEL_INSTITUTIONNEL.md","SAFE_DELETE","0","3,7","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MENTIONS_LEGALES.md","SAFE_DELETE","0","0,97","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_CONFIDENTIALITE.md","SAFE_DELETE","0","3,15","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_SECURITE.md","SAFE_DELETE","0","2,17","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide_en.md","SAFE_DELETE","0","2,53","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide.md","SAFE_DELETE","0","2,86","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist_en.md","SAFE_DELETE","0","1,35","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist.md","SAFE_DELETE","0","1,52","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_MANAGER_MIGRATION.md","SAFE_DELETE","0","2,17","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_ROTATION_RUNBOOK.md","SAFE_DELETE","0","7,25","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECURITY_ROTATION.md","SAFE_DELETE","0","2,31","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\STARTUP_YC_ARCHITECTURE.md","SAFE_DELETE","0","4,49","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\favicon.svg","PROTECTED","100","1,06","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-128.svg","SAFE_DELETE","0","1,62","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-256.svg","SAFE_DELETE","0","2,39","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-512.svg","USED","60","2,03","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-dark.svg","PROTECTED","100","1,48","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-light.svg","PROTECTED","100","1,48","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo.svg","PROTECTED","100","1,68","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\splash-screen.svg","USED","60","2,03","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\favicon.svg","PROTECTED","100","9,3","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\public\icons.svg","USED","60","4,91","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\hero.png","USED","60","12,75","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\react.svg","USED","60","4,03","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\src\assets\vite.svg","USED","60","8,5","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\README.md","SAFE_DELETE","0","1","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","USED","60","10,68","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","USED","60","0,29","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","USED","60","0,4","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","USED","60","0,44","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","USED","60","0,28","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","USED","60","0,45","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","USED","60","0,69","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","USED","60","0,4","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","USED","60","0,57","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","USED","60","0,84","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","USED","60","0,84","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","USED","60","1,63","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","USED","60","0,74","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","USED","60","1,2","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","USED","60","1,38","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","SAFE_DELETE","0","0,33","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\cookie_policy.md","USED","60","3,23","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\privacy_policy.md","USED","60","3,53","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\refund_policy.md","USED","60","2,66","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\en\terms_of_service.md","USED","60","3,67","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\cookie_policy.md","USED","60","3,62","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\privacy_policy.md","USED","60","4,4","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\refund_policy.md","USED","60","3,03","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\docs\legal\fr\terms_of_service.md","USED","60","4,54","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_en.md","SAFE_DELETE","0","8,18","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\cookie_policy_fr.md","SAFE_DELETE","0","8,76","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_en.md","SAFE_DELETE","0","6,11","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\privacy_policy_fr.md","SAFE_DELETE","0","7,2","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_en.md","SAFE_DELETE","0","4,69","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\refund_policy_fr.md","SAFE_DELETE","0","5,13","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_en.md","SAFE_DELETE","0","5,77","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\lib\features\legal\data\terms_of_service_fr.md","SAFE_DELETE","0","6,5","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","USED","60","0,53","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","USED","60","0,43","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","USED","60","0,7","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","USED","60","1,01","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","USED","60","1,41","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","USED","60","10,68","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","USED","60","0,29","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","USED","60","0,4","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","USED","60","0,44","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","USED","60","0,28","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","USED","60","0,45","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","USED","60","0,69","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","USED","60","0,4","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","USED","60","0,57","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","USED","60","0,84","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","USED","60","0,84","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","USED","60","1,63","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","USED","60","0,74","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","USED","60","1,2","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","USED","60","1,38","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","USED","60","0,07","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","SAFE_DELETE","0","0,33","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\flutter\CMakeLists.txt","SAFE_DELETE","0","2,75","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\linux\CMakeLists.txt","SAFE_DELETE","0","3,59","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_1024.png","USED","60","100,58","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_128.png","USED","60","5,55","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_16.png","USED","60","0,51","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_256.png","USED","60","13,81","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_32.png","USED","60","1,04","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_512.png","USED","60","35,55","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_64.png","USED","60","2,17","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-192.png","USED","60","5,17","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-512.png","USED","60","8,06","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-192.png","USED","60","5,46","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\icons\Icon-maskable-512.png","USED","60","20,51","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\web\favicon.png","PROTECTED","100","0,9","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\flutter\CMakeLists.txt","SAFE_DELETE","0","3,41","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\runner\resources\app_icon.ico","USED","60","32,98","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\runner\CMakeLists.txt","SAFE_DELETE","0","0,58","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\windows\CMakeLists.txt","SAFE_DELETE","0","3,34","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\example\README.md","SAFE_DELETE","0","0,52","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\windows\CMakeLists.txt","SAFE_DELETE","0","0,84","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\CHANGELOG.md","SAFE_DELETE","0","19,82","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\connectivity_plus\README.md","SAFE_DELETE","0","7,58","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\linux\CMakeLists.txt","SAFE_DELETE","0","1,11","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\CHANGELOG.md","SAFE_DELETE","0","0,66","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\flutter_secure_storage_linux\README.md","SAFE_DELETE","0","0,42","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\android\README.md","SAFE_DELETE","0","0,15","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","USED","60","0,53","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","USED","60","0,43","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","USED","60","0,7","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\linux\flutter\ephemeral\.plugin_symlinks\jni\example\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","USED","60","1,01","Referenced in code"
